step_idx,penguin_layer_idx,siglip2_layer_idx,similarity_score
0.000000000000000000e+00,2.700000000000000000e+01,2.600000000000000000e+01,3.875317871570587158e-01
1.000000000000000000e+00,2.600000000000000000e+01,2.500000000000000000e+01,3.661231994628906250e-01
2.000000000000000000e+00,2.500000000000000000e+01,2.400000000000000000e+01,3.549981415271759033e-01
3.000000000000000000e+00,2.400000000000000000e+01,2.300000000000000000e+01,3.868622481822967529e-01
4.000000000000000000e+00,2.300000000000000000e+01,2.200000000000000000e+01,3.826107382774353027e-01
5.000000000000000000e+00,2.200000000000000000e+01,2.100000000000000000e+01,3.752720654010772705e-01
6.000000000000000000e+00,2.100000000000000000e+01,2.000000000000000000e+01,3.685908317565917969e-01
7.000000000000000000e+00,2.000000000000000000e+01,1.900000000000000000e+01,3.502399623394012451e-01
8.000000000000000000e+00,1.900000000000000000e+01,1.800000000000000000e+01,3.262309432029724121e-01
9.000000000000000000e+00,1.800000000000000000e+01,1.700000000000000000e+01,2.852750420570373535e-01
1.000000000000000000e+01,1.700000000000000000e+01,1.600000000000000000e+01,2.399731874465942383e-01
1.100000000000000000e+01,1.600000000000000000e+01,1.500000000000000000e+01,2.162962108850479126e-01
1.200000000000000000e+01,1.500000000000000000e+01,1.400000000000000000e+01,1.946839988231658936e-01
1.300000000000000000e+01,1.400000000000000000e+01,1.300000000000000000e+01,1.588849127292633057e-01
1.400000000000000000e+01,1.300000000000000000e+01,1.200000000000000000e+01,1.409007608890533447e-01
1.500000000000000000e+01,1.200000000000000000e+01,1.100000000000000000e+01,1.336003839969635010e-01
1.600000000000000000e+01,1.100000000000000000e+01,1.000000000000000000e+01,1.216608136892318726e-01
1.700000000000000000e+01,1.000000000000000000e+01,9.000000000000000000e+00,1.139195859432220459e-01
1.800000000000000000e+01,9.000000000000000000e+00,8.000000000000000000e+00,1.188553720712661743e-01
1.900000000000000000e+01,8.000000000000000000e+00,7.000000000000000000e+00,1.100645065307617188e-01
2.000000000000000000e+01,7.000000000000000000e+00,6.000000000000000000e+00,1.090199425816535950e-01
2.100000000000000000e+01,6.000000000000000000e+00,5.000000000000000000e+00,1.039384156465530396e-01
2.200000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+00,9.602071344852447510e-02
2.300000000000000000e+01,4.000000000000000000e+00,3.000000000000000000e+00,9.506903588771820068e-02
2.400000000000000000e+01,3.000000000000000000e+00,2.000000000000000000e+00,9.297161549329757690e-02
2.500000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,8.982931822538375854e-02
2.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.020834222435951233e-01
